"tick","tipoA","tipoAB","tipoB","tipoO"
1.0,0.20000000000000007,0.019999999999999997,0.02000000000000001,0.7599999999999998
2.0,0.18000000000000002,0.0,0.04,0.78
3.0,0.18000000000000005,0.0,0.08000000000000002,0.7399999999999999
4.0,0.22000000000000003,0.0,0.06,0.72
5.0,0.26,0.0,0.07999999999999999,0.6600000000000001
6.0,0.24000000000000002,0.019999999999999997,0.12000000000000002,0.62
7.0,0.16000000000000003,0.06000000000000001,0.05999999999999999,0.7199999999999999
8.0,0.18000000000000005,0.019999999999999997,0.039999999999999994,0.7599999999999998
9.0,0.23999999999999996,0.020000000000000004,0.10000000000000003,0.64
10.0,0.16,0.019999999999999997,0.15999999999999995,0.6599999999999999
11.0,0.16,0.06000000000000001,0.18000000000000005,0.6000000000000001
12.0,0.26000000000000006,0.019999999999999997,0.24000000000000005,0.48000000000000004
13.0,0.1600000000000001,0.060000000000000026,0.21999999999999997,0.5599999999999998
14.0,0.18000000000000002,0.07999999999999999,0.19999999999999998,0.54
